Institution,Faculty Name,Field,HomePage,,Research Interests,Scholar Url,h_index,i10_index,Image
IIT Bombay,Bharat G Adsul,Computer Science Engineering,https://www.cse.iitb.ac.in/~adsul/,,"['Formal methods in Concurrency', ' Logics and Games', ' Geometric Complexity Theory']",https://scholar.google.co.in/citations?user=bZhCDxIAAAAJ&hl=en,8,5,https://www.cse.iitb.ac.in/images/faculty/adsul.jpg
IIT Bombay,Varsha Apte,Computer Science Engineering,https://www.cse.iitb.ac.in/~varsha/,,['Performance Evaluation of Computer Systems and Networks'],https://scholar.google.co.in/citations?user=g2oLiH4AAAAJ&hl=en,17,24,https://www.cse.iitb.ac.in/images/faculty/varsha.jpg
IIT Bombay,Kavi Arya,Computer Science Engineering,https://www.cse.iitb.ac.in/~kavi/,,"['Functional Programming Applications (Domain Specific Languages)', ' Embedded Systems/ Parallel Programming Languages', ' Distance Learning']",https://scholar.google.co.in/citations?user=Qz7H0U0AAAAJ&hl=en,14,19,https://www.cse.iitb.ac.in/images/faculty/kavi.jpg
IIT Bombay,Suyash P Awate,Computer Science Engineering,https://www.cse.iitb.ac.in/~suyash/,,"['Image Analysis', ' Medical Image Computing', ' Machine Learning', ' Computer Vision']",https://scholar.google.co.in/citations?user=xVs3dPgAAAAJ&hl=en,25,56,https://www.cse.iitb.ac.in/images/faculty/suyash.jpg
IIT Bombay,Umesh Bellur,Computer Science Engineering,https://www.cse.iitb.ac.in/~umesh/,,"['Adaptive Service Orientation', ' Managing virtualization and server consolidation in Clouds', ' Adaptive QoS based routing in DEBN']",https://scholar.google.co.in/citations?user=WnjGMjIAAAAJ&hl=en,24,44,https://www.cse.iitb.ac.in/images/faculty/umesh.jpg
IIT Bombay,Pushpak P Bhattacharya,Computer Science Engineering,https://www.cse.iitb.ac.in/~pb/,,"['Natural Language Processing', ' Machine Learning', ' Machine Translation', ' Cross Lingual IR and Web Knowledge Processing']",https://scholar.google.co.in/citations?user=vvg-pAkAAAAJ&hl=en,52,303,https://www.cse.iitb.ac.in/images/faculty/pb.jpg
IIT Bombay,Sujoy Bhore,Computer Science Engineering,https://sites.google.com/view/homepage-of-sujoy-bhore/home,,"['Computational Geometry', ' Algorithms', ' Graph Theory', ' Graph Drawing & Network Visualization']",https://scholar.google.co.il/citations?user=94KJ_A0AAAAJ&hl=en,7,3,https://www.cse.iitb.ac.in/images/faculty/sujoy.jpg
IIT Bombay,Soumen Chakrabarti,Computer Science Engineering,https://www.cse.iitb.ac.in/~soumen/,,"['Hypertext databases', ' Data mining']",https://scholar.google.com/citations?user=LfF2zfQAAAAJ&hl=en,57,116,https://www.cse.iitb.ac.in/images/faculty/soumen.jpg
IIT Bombay,Supratik Chakraborty,Computer Science Engineering,https://www.cse.iitb.ac.in/~supratik/,,"['Formal techniques for analysis', ' verification', ' validation of digital systems', ' Asynchronous timing analysis']",https://scholar.google.co.in/citations?user=LwG4hd8AAAAJ&hl=en,24,45,https://www.cse.iitb.ac.in/images/faculty/supratik.jpg
IIT Bombay,Sharat Chandran,Computer Science Engineering,https://www.cse.iitb.ac.in/~sharat/,,"['Medical Imaging & Health Informatics', ' Graphics', ' Computer Vision', ' Parallel Algorithms', ' Visualization']",https://scholar.google.co.in/citations?user=pRDtIYcAAAAJ&hl=en,18,35,https://www.cse.iitb.ac.in/images/faculty/sharat.jpg
