index,Institution,Faculty Name,Field,HomePage,Research Interests,Scholar Url,h_index,i10_index,Image
0,IIT BHU,Dr. Manoj Kumar Meshram,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/mkmeshramece,"['Microwave and Millimeter Wave Technology', 'Microstrip Antenna', 'MIMO/Diversity Antennas for Mobile Phones', 'Reflectarray Antennas', 'Reconfigurable Antennas', 'UWB Antennas', 'Implanted Antennas', 'Metamaterial']",https://scholar.google.co.in/citations?user=rwkjkgcAAAAJ,12,13,https://iitbhu.ac.in/sites/default/files/styles/medium/public/pictures/2022-10/Profile_pics-removebg-preview.png?itok=L0z81MfJ
2,IIT BHU,Dr. Pradip Kumar Jain,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/pkjainece,"['High Power RF / Microwave Devices', 'Circuits and Systems. RF MEMs', 'Metamaterial devices Microwave Imaging', 'Remote Sensing']",https://scholar.google.co.in/citations?user=cYritM0AAAAJ,19,30,https://iitbhu.ac.in/contents/ece/img/people/ece_faculty_pradip.jpg
3,IIT BHU,Dr. Satyabrata Jit,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/sjitece,"['Modeling and Simulation of Advanced CMOS Devices', 'Metal-Oxide Based Thin Film Devices for Electronic' , 'Gas Sensing and Optoelectronic Applications', 'Colloidal Quantum Dots Based Photodetectors' , 'Solar Cells', 'Microwave Photonic Devices & circuits' ,'Signal Processing & Communication Systems']",https://scholar.google.co.in/citations?user=6LvL9aEAAAAJ,33,114,https://iitbhu.ac.in/contents/ece/img/people/ece_faculty_satyabrata.jpg
5,IIT BHU,Dr. Amit Kumar Singh,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/aksinghece,"['Microstrip Antennas', 'Shorted Microstrip Antenna', 'UWB/SWB antenna', 'RFID antenna for Tag and Reader', 'Optical antenna', 'MIMO Antenna', 'Optical Antenna', 'Nano Antenna', 'SAR reduction technique', 'RCS reduction']",https://scholar.google.co.in/citations?user=mUCM_A4AAAAJ,32,60,https://iitbhu.ac.in/contents/ece/img/people/ece_faculty_amit.jpg
6,IIT BHU,Dr. Amritanshu Pandey,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/apandeyece,"['Optoelectronics', 'Electronic Devices', 'Optical communication', 'Circuit Theory', 'Digital Communication', '2D semiconductor based devices']",https://scholar.google.co.in/citations?user=2RVpcw0AAAAJ,11,12,https://iitbhu.ac.in/contents/ece/img/people/ece_faculty_amritanshu.jpg
7,IIT BHU,Dr. M. Thottappan,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/mthottappanece,"['RF & Microwave Engineering', 'High Power Microwave (HPM) Devices']",https://scholar.google.co.in/citations?user=WoYMyGwAAAAJ,5,1,https://iitbhu.ac.in/contents/ece/img/people/ece_faculty_thottappan.jpg
9,IIT BHU,Dr Atul Kumar,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/atulece,"['Joint sensing and communication technology (JSC)', 'Prediction of Quality-of-Service (PQoS) parameters for Automotive and Robotics', 'Ultra-Reliable Low-Latency Communication (URLLC)', 'Massive MIMO', 'Beamforming', '5G-NR', 'C-RAN', 'O-RAN', '6G']",https://scholar.google.co.in/citations?user=V9tW7pIAAAAJ,11,14,https://iitbhu.ac.in/sites/default/files/ece/img/people/ece_faculty_atul.jpg
10,IIT BHU,Dr. Ankit Arora,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/ankitece,"['Optoelectronics', 'Nanophotonics', 'Excitonics (2D-semiconductors)', 'Plasmonics', 'Metamaterials']",https://scholar.google.co.in/citations?user=3GajpTwAAAAJ,4,1,https://iitbhu.ac.in/sites/default/files/ece/img/people/ece_facullty_ankitarora.jpg
11,IIT BHU,Dr. Jaya Jha,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/jayaece,"['Wide bandgap semiconductors', 'Gallium Nitride High Electron Mobility Transistors', 'Monolithic Microwave Integrated Circuits', 'Modeling and simulation of novel devices', 'Device Reliability']",https://scholar.google.co.in/citations?user=MIkCVeEAAAAJ,4,1,https://iitbhu.ac.in/sites/default/files/ece/img/people/ece_facullty_jaya.jpg
12,IIT BHU,Dr. Manoj Kumar Singh,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/mksinghece,"['Digital Communication', 'Coding', 'Signal Processing']",https://scholar.google.co.in/citations?user=rwkjkgcAAAAJ,12,13,https://iitbhu.ac.in/contents/ece/img/people/ece_faculty_manojsingh.jpg
13,IIT BHU,Dr. Om Jee Pandey,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/omjeeece,"['Wireless Sensor Networks', 'Internet of Things', 'Cyber Physical Systems', 'UAV-Assisted Edge and Fog Networks', 'Low-power Wide-area Networks', 'Social Networks', 'Signal Processing', 'Optical and Wireless Communications']",https://scholar.google.co.in/citations?user=2lVVYf8AAAAJ,12,13,https://iitbhu.ac.in/contents/ece/img/people/ece_faculty_omjee.jpg
17,IIT BHU,Dr. Sanjeev Sharma,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/sanjeevece,"['Wireless Communication', 'Signal Processing', 'Deep Learning/Machine Learning-based Wireless Communication Systems Design']",https://scholar.google.co.in/citations?user=ajfz17IAAAAJ,12,18,https://iitbhu.ac.in/contents/ece/img/people/ece_faculty_sanjeev.jpg
18,IIT BHU,Dr. Shivam Verma,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/shivamece,"['Spintronics', 'Devices and Circuits for VLSI', 'Non-volatile memory and logic circuits']",https://scholar.google.co.in/citations?user=pyB8nJcAAAAJ,7,5,https://iitbhu.ac.in/contents/ece/img/people/ece_faculty_shivam.jpg
20,IIT BHU,Dr. Somak Bhattacharyya,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/somakbhattacharyyaece,"['Microwave Engineering', 'metasurafce']",https://scholar.google.co.in/citations?user=tTAzKj0AAAAJ,27,45,https://iitbhu.ac.in/contents/ece/img/people/ece_faculty_somak.jpg
21,IIT BHU,Dr. Sonam Jain,Electronics Engineering,https://iitbhu.ac.in/dept/ece/people/sonamece,"['Wireless Communication', 'Physical layer security', 'Coding Theory', 'NOMA', 'MIM0', 'URLLC']",https://scholar.google.co.in/citations?user=HBgXg-UAAAAJ,3,1,https://iitbhu.ac.in/sites/default/files/ece/img/people/ece_faculty_sonam.jpg
22,IIT BHU ,Dr. Anil Kumar Agrawal,Mechanical Engineering,https://iitbhu.ac.in/dept/mec/people/akagrawalmec,"['Quality Control', 'Six Sigma, Optimization', 'Industrial Engineering', 'Operation Management', 'Supply Chain Management']",https://scholar.google.co.in/citations?user=U-Vn2y4AAAAJ,23,41,https://iitbhu.ac.in/contents/mec/img/people/mec_faculty_anil.jpg
24,IIT BHU ,Dr. Jahar Sarkar,Mechanical Engineering,https://iitbhu.ac.in/dept/mec/people/jsarkarmec,"['Heat Transfer', 'Thermodynamics', 'Refrigeration', 'Air-conditioning', 'Nanofluids', 'Radiative cooling', 'Solar energy']",https://scholar.google.co.in/citations?user=Tv8978gAAAAJ,48,114,https://iitbhu.ac.in/contents/mec/img/people/mec_faculty_jahar.jpg
28,IIT BHU ,Dr. Pradyumna Ghosh,Mechanical Engineering,https://iitbhu.ac.in/dept/mec/people/pghoshmec,"['Heat Transfer', 'CFD', 'Nanofluids', 'Porous media flow & Microgravity fluid physics']",https://scholar.google.co.in/citations?user=z9sV09AAAAAJ,21,31,https://iitbhu.ac.in/contents/mec/img/people/mec_faculty_pradyumna.jpg
29,IIT BHU ,Dr. Rajesh Kumar,Mechanical Engineering,https://iitbhu.ac.in/dept/mec/people/rkumarmec,"['Engine Tribology', 'Surface Contact Modelling', 'Surface Contact Temperature', 'Surface Characterization', 'Running-in', 'Scuffing', 'Wear Modelling', 'Tribochemistry', 'Probabilistic Machine Design', 'Optimization', 'DOE', 'MEMS']",https://scholar.google.co.in/citations?user=NSsJ-7gAAAAJ,11,11,https://iitbhu.ac.in/contents/mec/img/people/mec_faculty_rajesh.jpg
