,Institution,Faculty Name,Field,HomePage,Research Interests,Scholar Url,h_index,i10_index,Image
126,Indian Institute of Technology Guwahati,A. B. Kunnumakkara,Biosciences and Bioengineering Centre for the Environment,https://iitg.ac.in/iitg_faculty_details?name=A.%20B.-Kunnumakkara&fac=K3grbm5VWWJZaTQ3RFdUNFhJRjFmdz09,"[ 'Role of inflammatory pathway in cancer development ' , ' Identification of novel biomarkers for cancer diagnosis and prognosis ' , ' Cancer drug discovery ' , ' Development of transgenic and gene knockout mouse model for biomedical research . ' ]",https://scholar.google.co.in/citations?user=shLBfaQAAAAJ,132,654,https://iitg.ac.in/storage/faculty/9998img.jpg
127,Indian Institute of Technology Guwahati,Aditya Narayan Panda,Chemistry,https://iitg.ac.in/iitg_faculty_details?name=Aditya%20Narayan-Panda&fac=dGFhbU9rNng1OE5MeUJXdUFieHBGQT09,[ 'Dynamics of bimolecular scattering process . ' ],https://scholar.google.co.in/citations?user=YTdrtRwAAAAJ,18,27,https://iitg.ac.in/storage/faculty/8678faculty.JPG
128,Indian Institute of Technology Guwahati,Aiyagari Ramesh,Biosciences and Bioengineering Centre for the Environment,https://iitg.ac.in/iitg_faculty_details?name=Aiyagari-Ramesh&fac=Y3dPS05sM3VIdGIwK0tBNnpDSmpWZz09,"[ 'Nanobiotechnology ' , ' Chemistry-Biology Interface for Developing Antibacterials and Sensors ' ]",https://scholar.google.co.in/citations?user=Wn-QCpkAAAAJ,6,3,https://iitg.ac.in/storage/faculty/6563img.jpg
129,Indian Institute of Technology Guwahati,Ajay Kalamdhad,Civil Engineering Centre for the Environment Centre for Sustainable Polymers School of Agro and Rural Technology,https://iitg.ac.in/iitg_faculty_details?name=Ajay-Kalamdhad&fac=RjhzUFBPOWFvcTFTdDhkNHFENmVSQT09,[ 'Environmental Engineering ' ],https://scholar.google.co.in/citations?user=6ElkLskAAAAJ,46,153,https://iitg.ac.in/storage/faculty/9474faculty.JPG
130,Indian Institute of Technology Guwahati,Akhilesh Kumar Maurya,Civil Engineering Centre for Disaster Management and Research Centre for Drone Technology,https://iitg.ac.in/iitg_faculty_details?name=Akhilesh-Kumar%20Maurya&fac=dllnemdETlhaV250a0R1TVpQb0xYdz09,[ ' * Driver behaviour * Traffic flow theory and model * Traffic engineering ' ],https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/22133130faculty.JPG
131,Indian Institute of Technology Guwahati,Alika Khare,Physics Centre for Indian Knowledge Systems,https://iitg.ac.in/iitg_faculty_details?name=Alika-Khare&fac=RnR2a2o5MVExaWYwamRyZmhmSWQyUT09,"[ 'Laser Physics and Spectroscopy ' , ' Laser Matter Interaction ' , ' Plasma Diagnostics ' , ' Interferometry . ' ]",https://scholar.google.co.in/citations?user=syq4Ao8AAAAJ,0,0,https://iitg.ac.in/storage/faculty/2443faculty.JPG
132,Indian Institute of Technology Guwahati,Aloke Kumar Ghoshal,Chemical Engineering,https://iitg.ac.in/iitg_faculty_details?name=Aloke%20Kumar-Ghoshal&fac=WG9wMVdZczJpZ0RybEptc3lkTWNQdz09,"[ 'Advanced Separation Technology ' , ' Modeling & Simulation ' , ' Environmental Pollution Control ' , ' Pyrolysis of waste plastic . ' ]",https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/1931faculty.JPG
133,Indian Institute of Technology Guwahati,Amarendra Kumar Sarma,Physics,https://iitg.ac.in/iitg_faculty_details?name=Amarendra-Kumar%20Sarma&fac=a0NOMnlidnV2dGlZTnFvbDMvRW42dz09,"[ 'Nonlinear and Quantum Optics ( Theory ) ; Quantum Optomechanics ' , ' Optical Force ' , ' Cavity QED ' , ' Coherent control ' , ' Extreme Nonlinear Optics ' , ' Solitons ' , ' Nonlinear Fiber Optics ' , ' Nonlinear Dynamics ' , ' Plasmonics and Transformation Optics ' , ' Parity-time Symmetric Optics . ' ]",https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/8954faculty.JPG
134,Indian Institute of Technology Guwahati,Amaresh Dalal,Mechanical Engineering,https://iitg.ac.in/iitg_faculty_details?name=Amaresh-Dalal&fac=aFFjQndmemFmWXREWnBvOU5aMmRQUT09,[ 'Natural and Mixed Convection Flows | Electrochemical Energy Conversion and Storage | CFD | Heat Transfer | Structured Grid Techniques in Curvilinear Coordinates | Finite Volume Methods and Unstructured Grid Techniques | ' ],https://scholar.google.co.in/citations?user=dhgUamwAAAAJ,28,54,https://iitg.ac.in/storage/faculty/7539faculty.JPG
135,Indian Institute of Technology Guwahati,Ananthakrishnan Srinivasan,Physics,https://iitg.ac.in/iitg_faculty_details?name=Ananthakrishnan-Srinivasan&fac=bjY3dko4Z2RKN2ltcktqSDl2YmtrQT09,"[ 'Glasses and Disordered Materials ' , ' Thin Films ' , ' Metallic Alloys ' , ' Nanophase material ' , ' Shape Memory Alloys . ' ]",https://scholar.google.co.in/citations?user=UjWU0YwAAAAJ,29,69,https://iitg.ac.in/storage/faculty/2529faculty.JPG
136,Indian Institute of Technology Guwahati,Anil Kumar Saikia,Chemistry,https://iitg.ac.in/iitg_faculty_details?name=Anil%20Kumar-Saikia&fac=cmNOUG0wTVhKWEMzNUVQbnZNdk9odz09,[ 'New Synthetic Methodology & Natural Product Synthesis . ' ],https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/7943faculty.JPG
137,Indian Institute of Technology Guwahati,Animes Kr. Golder,Chemical Engineering Centre for the Environment,https://iitg.ac.in/iitg_faculty_details?name=Animes%20Kr.-Golder&fac=YmM4K092YU9WWDdNVnNRcFpxbXlBQT09,[ 'Photocatalytic water treatment and water-splitting | Nanoparticles for water purification and sensor development | Electro-and bio-remediation of heavy metal | Advanced oxidation process | Physiochemical water treatment technique ' ],https://scholar.google.co.in/citations?user=FCKLeO8AAAAJ,16,30,https://iitg.ac.in/storage/faculty/9918faculty.JPG
138,Indian Institute of Technology Guwahati,Anjan Dutta,Civil Engineering,https://iitg.ac.in/iitg_faculty_details?name=Anjan-Dutta&fac=MDJNektTSkJnODVDS1JoZ2M3VHlnZz09,"[ ' * Finite Element Mesh Generation * Optimization * Control ' , ' Health Monitoring and Retrofitting of structure ' ]",https://scholar.google.co.in/citations?user=HSRALWQAAAAJ,21,44,https://iitg.ac.in/storage/faculty/970faculty.JPG
139,Indian Institute of Technology Guwahati,Anoop K. Dass,Mechanical Engineering,https://iitg.ac.in/iitg_faculty_details?name=Anoop-K.%20Dass&fac=YUN5QUhIa1dGMmtKdXFIYzhuT1ZqZz09,[ 'Turbomachines | Computational Fluid Dynamics ' ],https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/4097faculty.JPG
140,Indian Institute of Technology Guwahati,Anugrah Singh,Chemical Engineering,https://iitg.ac.in/iitg_faculty_details?name=Anugrah-Singh&fac=a2JuVHFCSVFkRmxMcUtzdkg2YnNBUT09,"[ 'Computational and Experimental Fluid Dynamics ' , ' Rheology of Complex Fluids ' , ' Microfluidics ' , ' Material Processing ' , ' Flow through Porous Media . ' ]",https://scholar.google.co.in/citations?user=RecJ8mAAAAAJ,22,63,https://iitg.ac.in/storage/faculty/8554faculty.JPG
141,Indian Institute of Technology Guwahati,Anumita Paul,Chemistry,https://iitg.ac.in/iitg_faculty_details?name=Anumita-Paul&fac=ZVZGZjQwNkQ4STlxeTJmaytndXljZz09,"[ 'Surface Science ' , ' Catalysis ' , ' Thin Films . ' ]",https://scholar.google.co.in/citations?user=u2LicBYAAAAJ,25,53,https://iitg.ac.in/storage/faculty/1752faculty.JPG
142,Indian Institute of Technology Guwahati,Anupam Saikia,Mathematics,https://iitg.ac.in/iitg_faculty_details?name=Anupam-Saikia&fac=L2dNN3U5NWk5Z1Q3TE40TExQY093Zz09,[ 'Number Theory ' ],https://scholar.google.co.in/citations?user=R_2IFrQAAAAJ,27,61,https://iitg.ac.in/storage/faculty/1021faculty.JPG
143,Indian Institute of Technology Guwahati,Arbind K. Singh,Civil Engineering Centre for Indian Knowledge Systems,https://iitg.ac.in/iitg_faculty_details?name=Arbind-K.%20Singh&fac=YTFqd2tFejkrUjN2SjYvOXFCLy9IUT09,"[ 'Computational Mechanics ' , ' IT in Construction Management ' ]",https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/7683Arbind_K_Singh.jpg
144,Indian Institute of Technology Guwahati,Arijit Sur,Computer Science and Engineering Centre for Intelligent Cyber-Physical Systems,https://iitg.ac.in/iitg_faculty_details?name=Arijit-Sur&fac=c1hXZFMzeTYvQU00OE9kMkdDeHdIUT09,"[ 'Computer Vision ' , ' Image and Video Processing ' , ' Media Forensics : Image and Video Watermarking ' , ' Steganography ' , ' Steganalysis ' , ' Multimedia Streaming . ' ]",https://scholar.google.co.in/citations?user=-klnWqYAAAAJ,16,32,https://iitg.ac.in/storage/faculty/3948faculty.JPG
145,Indian Institute of Technology Guwahati,Arun Chattopadhyay,Chemistry Centre for Nanotechnology,https://iitg.ac.in/iitg_faculty_details?name=Arun-Chattopadhyay&fac=VFNtcERPQ1NkRk1PTWQ4RE9YbTBwZz09,"[ 'Thin Films ' , ' Membrane Sciences ' , ' and Nano Science & Technologies . ' ]",https://scholar.google.co.in/citations?user=Ym02t0UAAAAJ,48,139,https://iitg.ac.in/storage/faculty/1287faculty.JPG
146,Indian Institute of Technology Guwahati,Arun Goyal,Biosciences and Bioengineering Centre for the Environment Centre for Indian Knowledge Systems,https://iitg.ac.in/iitg_faculty_details?name=Arun-Goyal&fac=QThEL1NzMFptNWtyUjhRMGFWbmpqQT09,"[ 'Molecular Biology ' , ' Protein Engineering ' , ' Structural and Functional Proteomics of Carbohydrate active enzyme and other industrially important microbial enzyme ' ]",https://scholar.google.co.in/citations?user=5Zq5WeAAAAAJ,46,166,https://iitg.ac.in/storage/faculty/4528img.jpg
147,Indian Institute of Technology Guwahati,Arunansu Sil,Physics,https://iitg.ac.in/iitg_faculty_details?name=Arunansu-Sil&fac=aHIreHh0UkFvWVdsMHhSNTNSYlJMdz09,"[ 'High Energy Physics & amp ; Cosmology ( Theory ) ; Phenomenology of Physics beyond the Standard Model ' , ' Supersymmetry and its breaking ' , ' Neutrino Physics ' , ' Matter-antimatter asymmetry of the Universe ' , ' Inflation ' , ' Dark Matter . ' ]",https://scholar.google.co.in/citations?user=3HGfO_8AAAAJ,17,30,https://iitg.ac.in/storage/faculty/3772faculty.JPG
148,Indian Institute of Technology Guwahati,Arunasis Chakraborty,Civil Engineering Centre for Disaster Management and Research,https://iitg.ac.in/iitg_faculty_details?name=Arunasis-Chakraborty&fac=ZGNpazVHT1ByUkozUElqUkpOS1Yvdz09,[ ' * Dynamic and Random Vibration * System identification and damage detection * Wavelet analysis ' ],https://scholar.google.co.in/citations?user=xrvZPdwAAAAJ,25,53,https://iitg.ac.in/storage/faculty/1112Arunasis_Chakraborty_1.jpg
149,Indian Institute of Technology Guwahati,Arup K. Sarma,Civil Engineering Centre for the Environment Centre for Sustainable Water Research Centre for Disaster Management and Research School of Agro and Rural Technology,https://iitg.ac.in/iitg_faculty_details?name=Arup-K.%20Sarma&fac=WkJmWEtoV1NtWjZkeGR3cUhjd2tjQT09,[ ' * Modeling & amp ; simulation in Free Surface Flow * Heuristic Method in Reservoir Optimization * GIS base Watershed Modeling ' ],https://scholar.google.co.in/citations?user=9Z4kD-sAAAAJ,69,173,https://iitg.ac.in/storage/faculty/2266akssir3.jpg
150,Indian Institute of Technology Guwahati,Arupjyoti Saikia,Humanities and Social Sciences Centre for Linguistic Science and Technology,https://iitg.ac.in/iitg_faculty_details?name=Arupjyoti%20Saikia-&fac=Wk5vcUE2aW9ZeVJlZ0pacU4xT0hrdz09,[ 'History ' ],https://scholar.google.co.in/citations?user=R_2IFrQAAAAJ,27,61,https://iitg.ac.in/storage/faculty/4780faculty.JPG
